qrel_source,qrel_retriever,qrel_judge_type,dataset,eval_run,eval_retriever,eval_reranker,eval_paradigm,strategy,is_qrel_eval,ndcg10
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,direct,False,0.6014
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,direct,True,0.7222
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,thresholding,False,0.5213
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,thresholding,True,0.6747
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,rank,False,0.5023
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,rank,True,0.5699
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,quantile,False,0.692
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,quantile,True,0.7647
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,largest_gap,False,0.4094
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,largest_gap,True,0.653
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,optimal_per_topic,False,0.6327
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,optimal_per_topic,True,0.752
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,optimal_global,False,0.6079
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25,bm25,none,base,optimal_global,True,0.7076
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,direct,False,0.7871
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,direct,True,0.7222
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,thresholding,False,0.7041
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,thresholding,True,0.6747
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,rank,False,0.4963
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,rank,True,0.5699
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,quantile,False,0.8661
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,quantile,True,0.7647
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,largest_gap,False,0.6058
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,largest_gap,True,0.653
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,optimal_per_topic,False,0.8452
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,optimal_per_topic,True,0.752
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,optimal_global,False,0.7962
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-point,bm25,point,pointwise,optimal_global,True,0.7076
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,direct,False,1.0
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,direct,True,0.7222
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,thresholding,False,1.0
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,thresholding,True,0.6747
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,rank,False,0.668
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,rank,True,0.5699
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,quantile,False,1.0
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,quantile,True,0.7647
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,largest_gap,False,1.0
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,largest_gap,True,0.653
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,optimal_per_topic,False,1.0
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,optimal_per_topic,True,0.752
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,optimal_global,False,1.0
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge,bm25,judge,pointwise,optimal_global,True,0.7076
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,direct,False,0.9945
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,direct,True,0.7222
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,thresholding,False,0.9906
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,thresholding,True,0.6747
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,rank,False,0.6967
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,rank,True,0.5699
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,quantile,False,0.9985
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,quantile,True,0.7647
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,largest_gap,False,0.9904
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,largest_gap,True,0.653
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,optimal_per_topic,False,0.998
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,optimal_per_topic,True,0.752
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,optimal_global,False,0.9926
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-judge_expr,bm25,judge_expr,pointwise,optimal_global,True,0.7076
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,direct,False,0.7972
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,direct,True,0.7222
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,thresholding,False,0.7014
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,thresholding,True,0.6747
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,rank,False,0.6087
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,rank,True,0.5699
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,quantile,False,0.8774
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,quantile,True,0.7647
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,largest_gap,False,0.657
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,largest_gap,True,0.653
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,optimal_per_topic,False,0.8459
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,optimal_per_topic,True,0.752
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,optimal_global,False,0.7978
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-rankgpt,bm25,rankgpt,listwise,optimal_global,True,0.7076
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,direct,False,0.8458
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,direct,True,0.7222
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,thresholding,False,0.7521
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,thresholding,True,0.6747
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,rank,False,0.6033
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,rank,True,0.5699
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,quantile,False,0.9316
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,quantile,True,0.7647
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,largest_gap,False,0.7159
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,largest_gap,True,0.653
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,optimal_per_topic,False,0.8937
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,optimal_per_topic,True,0.752
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,optimal_global,False,0.8281
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,bm25-rerank-setmaxheaptopk,bm25,setmaxheaptopk,setwise,optimal_global,True,0.7076
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,splade-v3,splade-v3,none,base,direct,False,0.5916
bm25-rerank-judge,bm25,judge,msmarco-passage/trec-dl-2019/judged,splade-v3,splade-v3,none,base,direct,True,0.7222
